Course ID,Topic Name,Topic Link
4429,flocculation,http%3A%2F%2Fdbpedia.org%2Fresource%2FFlocculation
4429,coagulation,http%3A%2F%2Fdbpedia.org%2Fresource%2FFlocculation
4433,Computer-aided design,http%3A%2F%2Fdbpedia.org%2Fresource%2FComputer-aided_design
4433,sensitivity analysis,http%3A%2F%2Fdbpedia.org%2Fresource%2FSensitivity_analysis
4444,Prestressed concrete,http%3A%2F%2Fdbpedia.org%2Fresource%2FPrestressed_concrete
4444,bond,http%3A%2F%2Fdbpedia.org%2Fresource%2FChemical_bond
4515,pore water pressure,http%3A%2F%2Fdbpedia.org%2Fresource%2FPore_water_pressure
48388,stability theory,http%3A%2F%2Fdbpedia.org%2Fresource%2FStability_theory
48388,hysteretic,http%3A%2F%2Fdbpedia.org%2Fresource%2FHysteresis
4705,Catullus,http%3A%2F%2Fdbpedia.org%2Fresource%2FCatullus
4705,Virgil,http%3A%2F%2Fdbpedia.org%2Fresource%2FVirgil
4705,Horace,http%3A%2F%2Fdbpedia.org%2Fresource%2FHorace
4705,Ovid,http%3A%2F%2Fdbpedia.org%2Fresource%2FOvid
4705,Lucretius,http%3A%2F%2Fdbpedia.org%2Fresource%2FLucretius
4709,Ancient Rome,http%3A%2F%2Fdbpedia.org%2Fresource%2FAncient_Rome
4709,Ancient Rome,http%3A%2F%2Fdbpedia.org%2Fresource%2FAncient_Rome
4715,Roman Republic,http%3A%2F%2Fdbpedia.org%2Fresource%2FRoman_Republic
4715,Empire,http%3A%2F%2Fdbpedia.org%2Fresource%2FRoman_Empire
4715,Augustus,http%3A%2F%2Fdbpedia.org%2Fresource%2FAugustus
4719,Greek,http%3A%2F%2Fdbpedia.org%2Fresource%2FGreek_mythology
4720,Mesopotamia,http%3A%2F%2Fdbpedia.org%2Fresource%2FMesopotamia
4721,Archaic Greece,http%3A%2F%2Fdbpedia.org%2Fresource%2FArchaic_Greece
4722,predynastic,http%3A%2F%2Fdbpedia.org%2Fresource%2FPrehistoric_Egypt
4722,Pharaonic,http%3A%2F%2Fdbpedia.org%2Fresource%2FAncient_Egypt
4723,Greece,http%3A%2F%2Fdbpedia.org%2Fresource%2FAncient_Greece
4723,Bronze Age,http%3A%2F%2Fdbpedia.org%2Fresource%2FBronze_Age
4723,Hellenistic,http%3A%2F%2Fdbpedia.org%2Fresource%2FHellenistic_period
4724,Bronze Age,http%3A%2F%2Fdbpedia.org%2Fresource%2FBronze_Age
4724,Bronze Age,http%3A%2F%2Fdbpedia.org%2Fresource%2FBronze_Age
4724,Greece,http%3A%2F%2Fdbpedia.org%2Fresource%2FGreece
4724,Crete,http%3A%2F%2Fdbpedia.org%2Fresource%2FCrete
4727,grammar,http%3A%2F%2Fdbpedia.org%2Fresource%2FGrammar
4728,grammar,http%3A%2F%2Fdbpedia.org%2Fresource%2FGrammar
4739,Greece,http%3A%2F%2Fdbpedia.org%2Fresource%2FAncient_Greece
4739,Homer,http%3A%2F%2Fdbpedia.org%2Fresource%2FHomer
4739,Iliad,http%3A%2F%2Fdbpedia.org%2Fresource%2FIliad
4739,Odyssey,http%3A%2F%2Fdbpedia.org%2Fresource%2FOdyssey
4739,Virgil,http%3A%2F%2Fdbpedia.org%2Fresource%2FVirgil
4739,Aeneid,http%3A%2F%2Fdbpedia.org%2Fresource%2FAeneid
4739,Argonautica,http%3A%2F%2Fdbpedia.org%2Fresource%2FArgonautica
4739,Lucan,http%3A%2F%2Fdbpedia.org%2Fresource%2FLucan
4739,Pharsalia,http%3A%2F%2Fdbpedia.org%2Fresource%2FPharsalia
4746,Aeschylus,http%3A%2F%2Fdbpedia.org%2Fresource%2FAeschylus
4746,Sophocles,http%3A%2F%2Fdbpedia.org%2Fresource%2FSophocles
4746,Euripides,http%3A%2F%2Fdbpedia.org%2Fresource%2FEuripides
4746,Aristophanes,http%3A%2F%2Fdbpedia.org%2Fresource%2FAristophanes
4746,Menander,http%3A%2F%2Fdbpedia.org%2Fresource%2FMenander
4746,Aristotle,http%3A%2F%2Fdbpedia.org%2Fresource%2FAristotle
4753,Alexander,http%3A%2F%2Fdbpedia.org%2Fresource%2FAlexander_the_Great
4753,Alexander,http%3A%2F%2Fdbpedia.org%2Fresource%2FAlexander_the_Great
4753,Greece,http%3A%2F%2Fdbpedia.org%2Fresource%2FAncient_Greece
4754,Empire,http%3A%2F%2Fdbpedia.org%2Fresource%2FRoman_Empire
4754,Empire,http%3A%2F%2Fdbpedia.org%2Fresource%2FRoman_Empire
